stop_id,stop_name,stop_lat,stop_lon,location_type,parent_station,radius
8503340:0,Opfikon,47.429955,8.561798,"",Parent8503340,5.988674192245384
8591046,"Zürich, Aspholz",47.424984,8.501027,"","",5.988656448170938
8590623,"Glattbrugg, Halden",47.428093,8.56964,"","",5.982432639684159
8594189,"Wallisellen, Säntisstrasse",47.413025,8.600623,"","",5.980791790991779
8590557,"Dübendorf, EMPA",47.40187,8.611439,"","",5.980734265784582
8590563,"Dübendorf, Grüzenstrasse",47.39129,8.617161,"","",5.98042185825776
8590888,"Wallisellen, Hallenbad",47.417847,8.593454,"","",5.9660913552060615
8576206,"Küsnacht ZH, Bühlstrasse",47.331753,8.579657,"","",5.962859103343087
8503067,Zollikerberg,47.346046,8.603399,"","",5.957634566331628
8594186,"Wallisellen, Haldenstrasse",47.41546,8.596887,"","",5.954836831312329
8590686,"Kilchberg ZH, Schlimbergstr.",47.32477,8.543005,"","",5.948744706320834
8590742,"Opfikon, Bahnhof",47.4296,8.561654,"","",5.947721777011716
8590745,"Opfikon, Fernsicht",47.42348,8.581965,"","",5.9438229729789125
8590477,"Adliswil, Moos",47.325138,8.531148,"","",5.943688937506896
8591207,"Zürich, Im Ebnet",47.431496,8.543751,"","",5.941153258266026
8591210,"Zürich, Im Hüsli",47.328236,8.512696,"","",5.934086563626627
8574898,"Ringlikon, Gättern",47.361973,8.465319,"","",5.9274208494076595
8590680,"Kilchberg ZH, Kreuzstrasse",47.32506,8.54526,"","",5.924987223198918
8590576,"Dübendorf, Meiershofstrasse",47.3967,8.613604,"","",5.903074344152262
8590894,"Wallisellen, Riedenerstrasse",47.411007,8.601611,"","",5.895912191103759
8590740,"Opfikon, Aublick",47.42468,8.577528,"","",5.8906331011055
8502559,"Waldegg, Birmensdorferstrasse",47.3683,8.463469,"","",5.8889313747289345
8591028,"Zollikerberg, Station",47.346035,8.602168,"","",5.884431745051505
8590625,"Glattbrugg, Lättenwiesen",47.428123,8.565697,"","",5.882007485828972
8590622,"Glattbrugg, Giebeleichstrasse",47.42855,8.563514,"","",5.875758622866304
8590628,"Glattbrugg, Oberhusen",47.427013,8.569703,"","",5.872787652550752
8506636,"Adliswil, Sunnau",47.32606,8.529549,"","",5.856958083060621
8503696,"Stallikon, Sellenbüren",47.343296,8.482073,"","",5.856292591797294
